Date,Open,Adj Close
2020-03-25,36.35,35.95
2020-03-26,36.49,35.21
2020-03-27,33.67,34.29
2020-03-30,34.02,33.48
2020-03-31,33.42,34.93
2020-04-01,33.6,32.1
2020-04-02,32.07,30.3
2020-04-03,33.97,32.0
2020-04-06,34.08,34.42
2020-04-07,36.33,36.36
2020-04-08,36.95,36.59
2020-04-09,37.47,38.2
2020-04-13,39.34,43.4
2020-04-14,46.6,47.33
2020-04-15,49.47,48.66
2020-04-16,47.8,49.68
2020-04-17,51.49,50.26
2020-04-20,48.85,49.76
2020-04-21,48.67,45.78
2020-04-22,46.93,48.81
2020-04-23,48.51,47.04
2020-04-24,47.39,48.34
2020-04-27,49.17,53.25
2020-04-28,53.04,51.27
2020-04-29,52.68,53.37
2020-04-30,57.01,52.13
2020-05-01,50.33,46.75
2020-05-04,46.73,50.75
2020-05-05,52.65,51.21
2020-05-06,51.77,52.17
2020-05-07,51.81,52.0
2020-05-08,52.92,54.63
2020-05-11,52.7,54.09
2020-05-12,55.13,53.96
2020-05-13,54.72,52.73
2020-05-14,52.0,53.56
2020-05-15,52.69,53.28
2020-05-18,55.19,54.24
2020-05-19,54.34,53.87
2020-05-20,54.7,54.37
2020-05-21,54.4,55.17
2020-05-22,54.81,54.46
2020-05-26,55.63,54.59
2020-05-27,54.72,54.68
2020-05-28,54.23,53.72
2020-05-29,53.92,55.67
2020-06-01,57.2,59.87
2020-06-02,59.65,58.77
2020-06-03,59.21,58.86
2020-06-04,59.33,57.63
2020-06-05,58.52,59.04
2020-06-08,61.27,63.33
2020-06-09,62.67,62.71
2020-06-10,66.13,68.34
2020-06-11,66.01,64.86
2020-06-12,65.33,62.35
2020-06-15,61.19,66.06
2020-06-16,67.46,65.48
2020-06-17,65.85,66.12
2020-06-18,66.87,66.93
2020-06-19,67.52,66.73
2020-06-22,66.66,66.29
2020-06-23,66.59,66.79
2020-06-24,66.27,64.06
2020-06-25,63.62,65.73
2020-06-26,66.32,63.98
2020-06-29,64.6,67.29
2020-06-30,67.1,71.99
2020-07-01,72.2,74.64
2020-07-02,81.43,80.58
2020-07-06,85.11,91.44
2020-07-07,93.67,92.66
2020-07-08,93.67,91.06
2020-07-09,93.13,92.95
2020-07-10,93.07,102.98
2020-07-13,110.6,99.8
2020-07-14,103.73,101.12
2020-07-15,102.87,103.07
2020-07-16,98.48,100.04
2020-07-17,100.9,100.06
2020-07-20,101.27,109.53
2020-07-21,109.33,104.56
2020-07-22,106.6,106.16
2020-07-23,111.93,100.87
2020-07-24,94.4,94.47
2020-07-27,95.67,102.64
2020-07-28,100.27,98.43
2020-07-29,100.07,99.94
2020-07-30,99.2,99.17
2020-07-31,101.0,95.38
2020-08-03,96.61,99.0
2020-08-04,99.67,99.13
2020-08-05,99.53,99.0
2020-08-06,99.39,99.31
2020-08-07,99.97,96.85
2020-08-10,96.53,94.57
2020-08-11,93.07,91.63
2020-08-12,98.0,103.65
2020-08-13,107.4,108.07
2020-08-14,111.0,110.05
2020-08-17,111.8,122.38
2020-08-18,126.6,125.81
2020-08-19,124.33,125.24
2020-08-20,124.05,133.46
2020-08-21,136.32,136.67
2020-08-24,141.75,134.28
2020-08-25,131.66,134.89
2020-08-26,137.33,143.54
2020-08-27,145.36,149.25
2020-08-28,153.01,147.56
2020-08-31,148.2,166.11
2020-09-01,167.38,158.35
2020-09-02,159.66,149.12
2020-09-03,135.74,135.67
2020-09-04,134.27,139.44
2020-09-08,118.67,110.07
2020-09-09,118.87,122.09
2020-09-10,128.74,123.78
2020-09-11,127.31,124.24
2020-09-14,126.98,139.87
2020-09-15,145.52,149.92
2020-09-16,146.62,147.25
2020-09-17,138.53,141.14
2020-09-18,149.31,147.38
2020-09-21,151.04,149.8
2020-09-22,143.2,141.41
2020-09-23,135.05,126.79
2020-09-24,121.27,129.26
2020-09-25,131.16,135.78
2020-09-28,141.54,140.4
2020-09-29,138.67,139.69
2020-09-30,140.44,143.0
2020-10-01,146.92,149.39
2020-10-02,140.46,138.36
2020-10-05,141.12,141.89
2020-10-06,141.26,137.99
2020-10-07,139.96,141.77
2020-10-08,146.15,141.97
2020-10-09,143.38,144.67
2020-10-12,147.33,147.43
2020-10-13,147.78,148.88
2020-10-14,149.93,153.77
2020-10-15,150.1,149.63
2020-10-16,151.48,146.56
2020-10-19,148.75,143.61
2020-10-20,143.92,140.65
2020-10-21,140.9,140.88
2020-10-22,147.31,141.93
2020-10-23,140.61,140.21
2020-10-26,137.21,140.09
2020-10-27,141.25,141.56
2020-10-28,138.83,135.34
2020-10-29,136.65,136.94
2020-10-30,135.63,129.35
2020-11-02,131.33,133.5
2020-11-03,136.58,141.3
2020-11-04,143.54,140.33
2020-11-05,142.77,146.03
2020-11-06,145.37,143.32
2020-11-09,146.5,140.42
2020-11-10,140.03,136.79
2020-11-11,138.82,139.04
2020-11-12,138.35,137.25
2020-11-13,136.95,136.17
2020-11-16,136.31,136.03
2020-11-17,153.39,147.2
2020-11-18,149.45,162.21
2020-11-19,164.0,166.42
2020-11-20,166.0,163.2
2020-11-23,167.83,173.95
2020-11-24,180.13,185.13
2020-11-25,183.35,191.33
2020-11-27,193.72,195.25
2020-11-30,200.74,189.2
2020-12-01,199.2,194.92
2020-12-02,185.48,189.61
2020-12-03,196.67,197.79
2020-12-04,197.0,199.68
2020-12-07,201.64,213.92
2020-12-08,208.5,216.63
2020-12-09,217.9,201.49
2020-12-10,191.46,209.02
2020-12-11,205.0,203.33
2020-12-14,206.33,213.28
2020-12-15,214.43,211.08
2020-12-16,209.41,207.59
2020-12-17,209.4,218.63
2020-12-18,222.97,231.67
2020-12-21,222.08,216.62
2020-12-22,216.0,213.45
2020-12-23,210.73,215.33
2020-12-24,214.33,220.59
2020-12-28,224.84,221.23
2020-12-29,220.33,222.0
2020-12-30,224.0,231.59
2020-12-31,233.33,235.22
2021-01-04,239.82,243.26
2021-01-05,241.22,245.04
2021-01-06,252.83,251.99
2021-01-07,259.21,272.01
2021-01-08,285.33,293.34
2021-01-11,283.13,270.4
2021-01-12,277.0,283.15
2021-01-13,284.25,284.8
2021-01-14,281.13,281.67
2021-01-15,284.0,275.39
2021-01-19,279.27,281.52
2021-01-20,286.25,283.48
2021-01-21,285.0,281.66
2021-01-22,278.1,282.21
2021-01-25,285.0,293.6
2021-01-26,297.13,294.36
2021-01-27,290.12,288.05
2021-01-28,273.33,278.48
2021-01-29,276.67,264.51
